
[200, 220, 200, 220, 280, 246]	3	0	 Score: 0
[200, 220, 200, 300, 440, 398]	7	3	 Score: 3
[200, 220, 200, 450, 510, 365]	3	6	 Score: 8
[200, 220, 200, 450, 590, 365]	7	2	 Score: 9
[200, 220, 200, 220, 360, 398]	7	5	 Score: 9
[200, 220, 200, 450, 570, 365]	6	0	 Score: 0
[200, 220, 200, 220, 320, 398]	5	5	 Score: 4
[200, 220, 200, 300, 340, 398]	2	5	 Score: 9
[200, 220, 200, 220, 340, 398]	6	2	 Score: 11
[200, 220, 200, 220, 260, 246]	2	6	 Score: 17
[200, 220, 200, 220, 260, 349]	2	2	 Score: 19
[200, 220, 200, 220, 300, 246]	4	2	 Score: 21
[200, 220, 200, 300, 400, 398]	5	4	 Score: 25
[200, 220, 200, 300, 380, 398]	4	5	 Score: 30
[200, 220, 200, 450, 590, 365]	7	4	 Score: 34
[200, 220, 200, 220, 280, 349]	3	6	 Score: 39
[200, 220, 200, 220, 320, 297]	5	3	 Score: 42
[200, 220, 200, 220, 340, 297]	6	5	 Score: 47
[200, 220, 200, 220, 360, 297]	7	6	 Score: 53
[200, 220, 200, 220, 260, 398]	2	7	 Score: 60
[200, 220, 200, 220, 280, 398]	3	2	 Score: 62
[200, 220, 200, 220, 300, 398]	4	3	 Score: 65
[200, 220, 200, 450, 550, 365]	5	4	 Score: 69
[200, 220, 200, 220, 360, 246]	7	5	 Score: 74
[200, 220, 200, 220, 300, 349]	4	7	 Score: 81
[200, 220, 200, 300, 360, 398]	3	4	 Score: 85
[200, 220, 200, 450, 490, 365]	2	3	 Score: 88
[200, 220, 200, 450, 510, 365]	3	2	 Score: 90
[200, 220, 200, 220, 320, 349]	5	3	 Score: 93
