"[200,220,200,220,340,297]"	6	5	35
"[200,220,200,220,260,398]"	2	2	37
"[200,220,200,220,260,246]"	2	2	39
"[200,220,200,220,340,349]"	6	5	43
"[200,220,200,450,550,365]"	5	4	46
"[200,220,200,220,260,349]"	2	2	48
"[200,220,200,450,570,365]"	6	5	52
"[200,220,200,220,320,297]"	5	4	55
"[200,220,200,220,340,398]"	6	4	55
"[200,220,200,220,360,349]"	7	5	55
"[200,220,200,300,360,398]"	3	3	58
"[200,220,200,220,280,246]"	3	3	61
"[200,220,200,220,280,398]"	3	3	64
"[200,220,200,220,280,349]"	3	3	67
"[200,220,200,300,340,398]"	2	2	69
			
"[200,220,200,300,360,398]"	3	3	3
"[200,220,200,220,340,398]"	6	6	9
"[200,220,200,450,570,365]"	6	5	13
"[200,220,200,220,260,398]"	2	2	15
"[200,220,200,220,320,349]"	5	5	20
"[200,220,200,220,360,398]"	7	7	27
"[200,220,200,300,400,398]"	5	5	32
"[200,240,200,300,420,398]"	3	6	32
"[200,220,200,220,340,246]"	6	8	32
"[200,220,200,220,320,246]"	5	4	35
"[200,220,200,220,280,297]"	3	3	38
"[200,220,200,220,360,297]"	7	7	45
"[200,220,200,220,280,349]"	3	3	48
"[200,220,200,220,320,398]"	5	5	53
"[200,220,200,450,510,365]"	3	3	56
"[200,220,200,220,340,349]"	6	6	62
"[200,220,200,300,440,398]"	7	7	69
"[200,220,200,220,360,246]"	7	7	76
"[200,220,200,220,260,297]"	2	2	78
"[200,220,200,450,550,365]"	5	5	83
"[200,220,200,450,490,365]"	2	2	85
"[200,220,200,220,260,349]"	2	2	87
"[200,220,200,450,590,365]"	7	7	94
"[200,220,200,220,280,246]"	3	3	97
"[200,220,200,220,320,297]"	5	4	100
"[200,220,200,220,340,297]"	6	5	104
"[200,220,200,220,360,349]"	7	6	109
"[200,220,200,300,340,398]"	2	2	111
"[200,220,200,220,260,246]"	2	2	113
			
"[200,220,200,220,320,349]"	5	4	3
"[200,220,200,220,280,349]"	3	3	6
"[200,220,200,220,260,246]"	2	2	8
"[200,240,200,300,420,398]"	3	4	9
"[200,220,200,220,260,398]"	2	2	11
"[200,220,200,220,340,297]"	6	4	11
"[200,220,200,220,280,398]"	3	3	14
"[200,220,200,220,280,246]"	3	3	17
"[200,220,200,300,440,398]"	7	4	17
"[200,220,200,220,320,398]"	5	4	20
"[200,220,200,220,360,297]"	7	4	20
"[200,220,200,220,340,398]"	6	4	20
"[200,220,200,220,360,246]"	7	4	20
"[200,220,200,450,550,365]"	5	4	23
"[200,220,200,220,340,349]"	6	4	23
"[200,220,200,220,260,297]"	2	4	23
"[200,220,200,450,510,365]"	3	5	23
"[200,220,200,300,400,398]"	5	6	26
"[200,220,200,450,590,365]"	7	7	33
"[200,220,200,220,280,297]"	3	5	33
"[200,220,200,300,340,398]"	2	4	33
"[200,220,200,450,490,365]"	2	3	33
"[200,220,200,220,360,349]"	7	2	33
"[200,220,200,220,340,246]"	6	1	33
"[200,220,200,220,360,398]"	7	2	33
"[200,220,200,220,320,297]"	5	3	33
"[200,220,200,220,320,246]"	5	4	36
"[200,220,200,450,570,365]"	6	5	40
"[200,220,200,220,260,349]"	2	6	40
			
