
[200, 220, 200, 220, 340, 297]	6	0	 Score: 0
[200, 220, 200, 300, 360, 398]	3	5	 Score: 4
[200, 220, 200, 220, 260, 398]	2	2	 Score: 5
[200, 220, 200, 220, 300, 349]	4	2	 Score: 7
[200, 220, 200, 220, 260, 246]	2	4	 Score: 11
[200, 220, 200, 220, 320, 349]	5	2	 Score: 13
[200, 220, 200, 300, 400, 398]	5	3	 Score: 13
[200, 220, 200, 450, 530, 365]	4	4	 Score: 16
[200, 220, 200, 220, 360, 349]	7	3	 Score: 18
[200, 220, 200, 220, 300, 246]	4	5	 Score: 18
[200, 220, 200, 220, 280, 349]	3	4	 Score: 22
[200, 220, 200, 300, 380, 398]	4	3	 Score: 25
[200, 220, 200, 450, 490, 365]	2	4	 Score: 29
[200, 220, 200, 220, 360, 246]	7	2	 Score: 31
[200, 220, 200, 220, 280, 246]	3	7	 Score: 38
[200, 220, 200, 220, 320, 246]	5	3	 Score: 41
[200, 220, 200, 220, 340, 349]	6	5	 Score: 46
[200, 220, 200, 300, 340, 398]	2	6	 Score: 52
[200, 220, 200, 220, 280, 398]	3	2	 Score: 54
[200, 220, 200, 220, 260, 349]	2	3	 Score: 57
[200, 220, 200, 300, 440, 398]	7	2	 Score: 59
[200, 220, 200, 220, 340, 246]	6	7	 Score: 66
[200, 220, 200, 450, 510, 365]	3	5	 Score: 70
[200, 220, 200, 220, 320, 297]	5	3	 Score: 73
[200, 220, 200, 450, 550, 365]	5	6	 Score: 76
[200, 220, 200, 450, 570, 365]	6	6	 Score: 79
[200, 220, 200, 220, 260, 297]	2	7	 Score: 83
[200, 220, 200, 300, 420, 398]	6	2	 Score: 85
[200, 220, 200, 220, 300, 297]	4	6	 Score: 91
[200, 220, 200, 220, 300, 398]	4	6	 Score: 91
[200, 220, 200, 220, 360, 297]	7	6	 Score: 91
[200, 220, 200, 220, 360, 398]	7	7	 Score: 98
[200, 220, 200, 220, 340, 398]	6	7	 Score: 105
[200, 220, 200, 450, 590, 365]	7	8	 Score: 105
[200, 220, 200, 220, 320, 398]	5	8	 Score: 110
[200, 220, 200, 220, 280, 297]	3	5	 Score: 115
[200, 220, 200, 220, 320, 297]	5	0	 Score: 0
[200, 220, 200, 300, 420, 398]	6	5	 Score: 5
[200, 220, 200, 220, 300, 246]	4	6	 Score: 11
[200, 220, 200, 300, 400, 398]	5	4	 Score: 15
[200, 220, 200, 220, 300, 398]	4	3	 Score: 15
[200, 220, 200, 220, 340, 398]	6	3	 Score: 17
[200, 220, 200, 220, 280, 349]	3	5	 Score: 21
[200, 220, 200, 220, 280, 297]	3	3	 Score: 24
[200, 220, 200, 220, 360, 246]	7	3	 Score: 27
[200, 220, 200, 450, 550, 365]	5	7	 Score: 34
[200, 220, 200, 450, 530, 365]	4	5	 Score: 39
[200, 220, 200, 220, 300, 349]	4	4	 Score: 43
[200, 220, 200, 450, 490, 365]	2	4	 Score: 47
[200, 220, 200, 220, 280, 246]	3	2	 Score: 49
[200, 220, 200, 220, 280, 398]	3	3	 Score: 52
[200, 220, 200, 220, 260, 349]	2	3	 Score: 55
[200, 220, 200, 300, 440, 398]	7	2	 Score: 57
[200, 220, 200, 220, 320, 349]	5	6	 Score: 62
[200, 220, 200, 220, 340, 246]	6	5	 Score: 67
[200, 220, 200, 220, 360, 297]	7		 Score: 67
[200, 220, 200, 220, 340, 297]	6	7	 Score: 74
[200, 220, 200, 300, 360, 398]	3	6	 Score: 80
[200, 220, 200, 220, 360, 349]	7	4	 Score: 81
[200, 220, 200, 220, 320, 246]	5	6	 Score: 86
[200, 220, 200, 220, 260, 398]	2	4	 Score: 89
[200, 220, 200, 450, 570, 365]	6	2	 Score: 91
[200, 220, 200, 300, 380, 398]	4	4	 Score: 91
[200, 220, 200, 450, 590, 365]	7	4	 Score: 95
[200, 220, 200, 220, 360, 398]	7	6	 Score: 100
[200, 220, 200, 300, 340, 398]	2	7	 Score: 107
[200, 220, 200, 220, 340, 349]	6	2	 Score: 109
[200, 220, 200, 450, 570, 365]	6	0	 Score: 0
[200, 220, 200, 220, 340, 349]	6	5	 Score: 4
[200, 220, 200, 220, 320, 398]	5	5	 Score: 8
[200, 220, 200, 450, 510, 365]	3	4	 Score: 11
[200, 220, 200, 220, 280, 246]	3	3	 Score: 14
[200, 220, 200, 220, 340, 297]	6	3	 Score: 17
[200, 220, 200, 220, 340, 246]	6	6	 Score: 23
[200, 220, 200, 220, 260, 297]	2	6	 Score: 29
[200, 220, 200, 300, 360, 398]	3	2	 Score: 31
[200, 220, 200, 220, 260, 398]	2	3	 Score: 34
[200, 220, 200, 450, 530, 365]	4	2	 Score: 36
[200, 220, 200, 220, 360, 246]	7	5	 Score: 38
[200, 220, 200, 450, 550, 365]	5	6	 Score: 43
[200, 220, 200, 300, 420, 398]	6	6	 Score: 46
[200, 220, 200, 220, 300, 246]	4	6	 Score: 52
[200, 220, 200, 220, 300, 398]	4	5	 Score: 54
[200, 220, 200, 220, 360, 398]	7	4	 Score: 58
[200, 220, 200, 300, 380, 398]	4	8	 Score: 63
[200, 220, 200, 220, 340, 398]	6	6	 Score: 63
[200, 220, 200, 300, 440, 398]	7	7	 Score: 67
[200, 220, 200, 220, 300, 297]	4	8	 Score: 72
[200, 220, 200, 450, 590, 365]	7	2	 Score: 72
[200, 220, 200, 300, 360, 398]	3	0	 Score: 0
[200, 220, 200, 220, 360, 398]	7	2	 Score: 1
[200, 220, 200, 220, 320, 349]	5	5	 Score: 1
[200, 220, 200, 220, 360, 297]	7	4	 Score: 4
[200, 220, 200, 220, 300, 349]	4	6	 Score: 9
[200, 220, 200, 450, 490, 365]	2		 Score: 9
[200, 220, 200, 220, 280, 398]	3	2	 Score: 11
[200, 220, 200, 220, 340, 297]	6	3	 Score: 14
[200, 220, 200, 300, 420, 398]	6	4	 Score: 14
[200, 220, 200, 300, 440, 398]	7	6	 Score: 20
[200, 220, 200, 220, 360, 246]	7	7	 Score: 27
[200, 220, 200, 220, 300, 297]	4	3	 Score: 27
[200, 220, 200, 450, 550, 365]	5	3	 Score: 29
[200, 220, 200, 220, 300, 398]	4	5	 Score: 34
[200, 220, 200, 220, 320, 246]	5	4	 Score: 38
[200, 220, 200, 220, 260, 297]	2	5	 Score: 43
[200, 220, 200, 220, 360, 349]	7	2	 Score: 45
[200, 220, 200, 450, 590, 365]	7	8	 Score: 50
[200, 220, 200, 300, 380, 398]	4	8	 Score: 55
[200, 220, 200, 450, 510, 365]	3	5	 Score: 57
[200, 220, 200, 220, 280, 246]	3	3	 Score: 60
[200, 220, 200, 220, 340, 398]	6	3	 Score: 63
[200, 220, 200, 450, 530, 365]	4	5	 Score: 67
