[200,220,200,220,360,246]	7	0	Score:0
[200,220,200,300,360,398]	3	7	Score:7
[200,220,200,220,280,246]	3	3	Score:10
[200,220,200,300,340,398]	2	3	Score:13
[200,220,200,450,510,365]	3	2	Score:15
[200,220,200,300,440,398]	7	3	Score:18
[200,240,200,300,420,398]	3	6	Score:23
[200,220,200,220,260,246]	2	5	Score:23
[200,220,200,220,280,349]	3	2	Score:25
[200,220,200,220,260,297]	2	3	Score:28
[200,220,200,220,280,297]	3	2	Score:30
[200,220,200,220,280,398]	3	3	Score:33
[200,220,200,220,260,349]	2	4	Score:34
[200,220,200,220,360,398]	7	2	Score:36
[200,220,200,220,320,398]	5	6	Score:41
[200,220,200,220,360,349]	7	5	Score:46
[200,220,200,220,340,297]	6	6	Score:51
[200,220,200,220,260,398]	2	6	Score:57
[200,220,200,450,490,365]	2	3	Score:57
[200,220,200,220,340,398]	6	2	Score:59
[200,220,200,300,400,398]	5	5	Score:63
[200,220,200,220,340,246]	6	5	Score:68
[200,220,200,450,570,365]	6	6	Score:74
[200,220,200,220,360,297]	7	7	Score:78
[200,220,200,220,320,297]	5	7	Score:85
[200,220,200,220,340,349]	6	6	Score:88
[200,220,200,450,550,365]	5	7	Score:92
[200,220,200,220,320,246]	5	6	Score:95
[200,220,200,220,320,349]	5	6	Score:98
[200,220,200,450,590,365]	7	6	Score:101
[200,220,200,220,360,246]	7	0	Score:0
[200,220,200,220,360,297]	7	6	Score:5
[200,220,200,450,590,365]	7	7	Score:12
[200,220,200,300,440,398]	7	7	Score:19
[200,220,200,220,320,349]	5	5	Score:19
[200,220,200,220,260,349]	2	4	Score:22
[200,220,200,450,490,365]	2	2	Score:24
[200,220,200,220,260,246]	2	2	Score:26
[200,220,200,450,550,365]	5	2	Score:28
[200,220,200,220,360,349]	7	4	Score:31
[200,220,200,220,320,398]	5	5	Score:31
[200,220,200,220,260,398]	2	4	Score:34
[200,240,200,300,420,398]	3	2	Score:36
[200,220,200,220,260,297]	2	3	Score:39
[200,220,200,220,320,246]	5	2	Score:41
[200,220,200,300,400,398]	5	4	Score:44
[200,220,200,220,360,398]	7	3	Score:44
[200,220,200,300,360,398]	3	6	Score:49
[200,220,200,220,340,349]	6	3	Score:52
[200,220,200,220,340,398]	6	5	Score:56
[200,220,200,450,510,365]	3	4	Score:56
[200,220,200,300,340,398]	2	3	Score:59
[200,220,200,220,320,297]	5	2	Score:61
[200,220,200,220,280,246]	3	5	Score:66
[200,220,200,220,280,398]	3	3	Score:69
[200,220,200,220,280,297]	3	2	Score:70
[200,220,200,450,570,365]	6	2	Score:71
[200,220,200,220,340,246]	6	5	Score:75
[200,220,200,220,280,349]	3	6	Score:81
[200,220,200,220,340,297]	6	2	Score:82
